label,p,n,Delta_IF,Delta_CV,Delta_tune,R_n,R,Delta_R
Linear / Ridge,10,400,0.02755718970701004,0.20821639346859003,0.052316670709503924,3.1099787781998973,3.084226417680241,0.025752360519656126
Linear / Lasso (sparse),10,400,0.027850755408224716,0.22645433152410177,0.1108911905672218,3.8846801222452654,3.7887983334232747,0.09588178882199072
Logit / Ridge,10,400,0.03163622657915786,0.30890211196974526,0.05483357400468907,3.0621620135839938,3.0746764812666414,0.012514467682647634
Logit / Lasso (sparse),10,400,0.03822679732531643,0.29656238899525794,0.12688406108901737,3.7307323046119043,3.7763085996220425,0.04557629501013816
Linear / Ridge (anisotropic),10,400,0.02769701029911143,0.15187879052898087,0.03646223893848207,4.826607749133475,4.732770853017537,0.09383689611593837
